firm_name,type,sra_id,is_sra_regulated,telephone,email,website,profile_url,address_raw,city,county,postal_code,country,google_map,areas_of_practice_branch,areas_of_practice_org,languages_at_branch,languages_at_org,accreditations,total_people,total_solicitors,total_sra_managers,total_offices,has_disabled_access,has_induction_loops,accepts_legal_aid,provides_sign_language
ELYSIUM HEALTHCARE LIMITED,Not an SRA-regulated law practice,427377,True,02083271800,john.rowland@elysiumhealthcare.co.uk,http://www.partnershipsincare.co.uk,https://solicitors.lawsociety.org.uk/office/493249/elysium-healthcare-limited,"Address
Unit 2, Imperial Place, Maxwell Road, Borehamwood, Hertfordshire, WD6 1JN, England",Borehamwood,Hertfordshire,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,"Commercial litigation, Company and commercial, Employment, Insolvency and restructuring - business, Insurance, Litigation - general, Higher courts rights - civil","Commercial litigation, Company and commercial, Employment, Insolvency and restructuring - business, Insurance, Litigation - general, Higher courts rights - civil",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
Epoq Legal Ltd,Not an SRA-regulated law practice,498037,True,020 87312424,Missing,http://www.epoq.co.uk,https://solicitors.lawsociety.org.uk/office/489435/epoq-legal-ltd,"Address
Unit 2, Imperial Place, Maxwell Road, Borehamwood, Hertfordshire, WD6 1JN, England",Borehamwood,Hertfordshire,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,"Commercial property, Company and commercial, Conveyancing - residential, Employment, Family - general, Intellectual property, Landlord and tenant - residential, Mental health, Private client - Probate, Private client - Wills, Technology","Commercial property, Company and commercial, Conveyancing - residential, Employment, Family - general, Intellectual property, Landlord and tenant - residential, Mental health, Private client - Probate, Private client - Wills, Technology",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
EPOQ LEGAL LTD,Licensed body law practice (ABS),645296,True,Missing,Missing,http://www.epoq.co.uk,https://solicitors.lawsociety.org.uk/office/608955/epoq-legal-ltd,"Address
2 Imperial Place, Maxwell Road, Borehamwood,, Hertfordshire,, WD6 1JN, England",Hertfordshire,,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
KSRI SOLICITORS,Recognised sole practice law practice,548762,True,02083576871,tvk64@yahoo.co.uk,Missing,https://solicitors.lawsociety.org.uk/office/475313/ksri-solicitors,"Address
The Kinetic Centre, Theobald Street, Borehamwood, London, WD6 4PJ, England",Borehamwood,London,WD6 4PJ,England,https://maps.google.co.uk/maps?q=WD6%204PJ,"Benefits and allowances, Cross-border, Employment, Family - general, Immigration - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Private client - Probate, Private client - Wills, Tax","Benefits and allowances, Cross-border, Employment, Family - general, Immigration - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Private client - Probate, Private client - Wills, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
LLOYDS PR SOLICITORS,Recognised body law practice,8002154,True,02089631050,Missing,Missing,https://solicitors.lawsociety.org.uk/office/26810/lloyds-pr-solicitors,"Address
4 Imperial Place, Maxwell Road, Borehamwood, WD6 1JN, England",Maxwell Road,Borehamwood,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,Missing,"Advocacy, Benefits and allowances, Conveyancing - residential, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Criminal Litigation, Higher courts rights - criminal, Family - general, Human rights, Immigration - general, Immigration - nationality and citizenship, Litigation - general",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
NEWGATE SOLICITORS,Recognised sole practice law practice,8009474,True,Missing,info@newgatesolicitors.com,Missing,https://solicitors.lawsociety.org.uk/office/42979/newgate-solicitors,"Address
Unit 4, Imperial Place, Maxwell Road, Borehamwood, WD6 1JN, England",Maxwell Road,Borehamwood,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,Missing,"Administrative and public law, Advocacy, Higher courts rights - criminal, Criminal Litigation, Children, Conveyancing - residential, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Higher courts rights - criminal, Criminal Litigation, Family - general, Human rights, Immigration - nationality and citizenship, Landlord and tenant - residential, Litigation - general, Higher courts rights - civil, Personal injury",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
PANTHER SECURITIES PLC,Not an SRA-regulated law practice,443249,True,01707667300,Missing,http://panthersecurities.co.uk,https://solicitors.lawsociety.org.uk/office/504833/panther-securities-plc,"Address
Unicorn House, Station Close, Potters Bar, Hertfordshire, EN6 1TL, England",Potters Bar,Hertfordshire,EN6 1TL,England,https://maps.google.co.uk/maps?q=EN6%201TL,"Commercial property, Company and commercial","Commercial property, Company and commercial",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
Pizza Hut (UK) Limited,Not an SRA-regulated law practice,818627,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/10188/pizza-hut-uk-limited,"Address
Unit 1, Imperial Place, Maxwell Road, Borehamwood, WD6 1JN, England",Maxwell Road,Borehamwood,WD6 1JN,England,https://maps.google.co.uk/maps?q=WD6%201JN,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
RADIUS LAW LIMITED,Recognised body law practice,668669,True,02074954337,Missing,Missing,https://solicitors.lawsociety.org.uk/office/632964/radius-law-limited,"Address
Kinetic Business Centre, Theobald Street, Elstree, Borehamwood, Hertfordshire, WD6 4PJ, England",Borehamwood,Hertfordshire,WD6 4PJ,England,https://maps.google.co.uk/maps?q=WD6%204PJ,"Commercial litigation, Commercial property, Conveyancing - residential, Debt recovery, Employment, European Community law, Intellectual property, Landlord and tenant - commercial, Landlord and tenant - residential, Litigation - general, Litigation - small claims, Media, entertainment and sport, Mergers and acquisitions, Technology","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Debt recovery, Employment, European Community law, Intellectual property, Landlord and tenant - commercial, Landlord and tenant - residential, Litigation - general, Litigation - small claims, Media, entertainment and sport, Mergers and acquisitions, Technology",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
RIAA BARKER GILLETTE (UK) LLP,Recognised body law practice,828877,True,02076360555,UK@riaabg.com,Missing,https://solicitors.lawsociety.org.uk/office/17091/riaa-barker-gillette-uk-llp,"Address
Kinetic Business Centre, Theobald Street, Hertfordshire, Borehamwood, WD6 4PJ, England",Hertfordshire,Borehamwood,WD6 4PJ,England,https://maps.google.co.uk/maps?q=WD6%204PJ,Missing,"Banking, Charities, Children, Clinical negligence, Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Corporate finance, Crime - fraud, Crime - general, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Energy and natural resources, Family - general, Intellectual property, Landlord and tenant - residential, Licensing gaming and betting, Litigation - general, Neighbour disputes, Personal injury, Private client - Probate, Private client - trusts, Private client - Wills, Professional negligence, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Topgolf Limited,Not an SRA-regulated law practice,653719,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/617073/topgolf-limited,"Address
Kinetic House, Theobald Street, Elstree, Borehamwood, Hertfordshire, WD6 4PJ, England",Borehamwood,Hertfordshire,WD6 4PJ,England,https://maps.google.co.uk/maps?q=WD6%204PJ,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
Carefinders Ltd,Not an SRA-regulated law practice,345355,True,020 8236 0060,Missing,Missing,https://solicitors.lawsociety.org.uk/office/492307/carefinders-ltd,"Address
Care House, Chester Road, Borehamwood, Hertfordshire, WD6 1LP, England",Borehamwood,Hertfordshire,WD6 1LP,England,https://maps.google.co.uk/maps?q=WD6%201LP,"Company and commercial, Litigation - general","Company and commercial, Litigation - general",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
CARETECH COMMUNITY SERVICES LTD,Not an SRA-regulated law practice,633338,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/47962/caretech-community-services-ltd,"Address
Metropolitan House, 3 Darkes Lane, Potters Bar, EN6 1AG, England",3 Darkes Lane,Potters Bar,EN6 1AG,England,https://maps.google.co.uk/maps?q=EN6%201AG,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
CONWAY & COMPANY SOLICITORS LIMITED,Recognised body law practice,611463,True,02088630535,rhermon@conwaysolicitors.co.uk,http://www.conwaysolicitors.co.uk,https://solicitors.lawsociety.org.uk/office/553223/conway-company-solicitors-limited,"Address
Devonshire House, 107 Manor Way, Borehamwood, Hertfordshire, WD6 1QQ, England",Borehamwood,Hertfordshire,WD6 1QQ,England,https://maps.google.co.uk/maps?q=WD6%201QQ,"Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Family - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general, Private client - Probate, Private client - trusts, Private client - Wills, Tax","Commercial property, Company and commercial, Conveyancing - residential, Conveyancing Quality Scheme, Family - general, Immigration - nationality and citizenship, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general, Private client - Probate, Private client - trusts, Private client - Wills, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Healthcare Direct Ltd,Not an SRA-regulated law practice,328313,True,020 8236 0060,sonalharia@gmail.com,Missing,https://solicitors.lawsociety.org.uk/office/493154/healthcare-direct-ltd,"Address
Care House, Chester Road, Borehamwood, Hertfordshire, WD6 1LP, England",Borehamwood,Hertfordshire,WD6 1LP,England,https://maps.google.co.uk/maps?q=WD6%201LP,"Company and commercial, Litigation - general","Company and commercial, Litigation - general",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
HERBERTLEWIS SOLICITORS,Recognised sole practice law practice,490848,True,02036010770,mail@herbertlewissolicitors.com,http://www.herbertlewissolicitors.com,https://solicitors.lawsociety.org.uk/office/467345/herbertlewis-solicitors,"Address
78 Shenley Road, Borehamwood, Hertfordshire, WD6 1EH, England",Borehamwood,Hertfordshire,WD6 1EH,England,https://maps.google.co.uk/maps?q=WD6%201EH,"Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Energy and natural resources, Family - general, Immigration - nationality and citizenship, Landlord and tenant - residential, Litigation - general, Maritime and shipping, Private client - Probate, Private client - Wills","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Energy and natural resources, Family - general, Immigration - nationality and citizenship, Landlord and tenant - residential, Litigation - general, Maritime and shipping, Private client - Probate, Private client - Wills",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
HINE SOLICITORS LIMITED,Recognised body law practice,657277,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/620754/hine-solicitors-limited,"Address
107 Devonshire House, Manor Way, Borehamwood, Hertfordshire, WD6 1QQ, England",Borehamwood,Hertfordshire,WD6 1QQ,England,https://maps.google.co.uk/maps?q=WD6%201QQ,Missing,"Actions against the police - legal aid, Advocacy, Higher courts rights - criminal, Criminal Litigation, Clinical negligence, Commercial property, Conveyancing - residential, Conveyancing Quality Scheme, Crime - domestic violence, Crime - fraud, Criminal Litigation, Higher courts rights - criminal, Crime - general, Criminal Litigation, Higher courts rights - criminal, Crime - legal aid, Crime - motoring, Crime - sex, Debt recovery, Dispute resolution - civil mediation, Dispute resolution - commercial mediation, Employment, Family - general, Family - marriage and civil partnerships, Lasting power of attorney, Litigation - general, LPA - Health and Welfare, LPA - Property and Affairs, Military, Neighbour disputes, Personal injury, Personal injury - RTA, Prison law - legal aid, Private client - disputed probate, Private client - disputed trusts, Private client - disputed wills, Private client - Probate, Wills and Inheritance Quality Scheme, Private client - trusts, Private client - Wills, Wills and Inheritance Quality Scheme, Professional negligence, Tax",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
LANDLORD ACTION LTD,Licensed body law practice (ABS),605660,True,03333219415,info@landlordaction.co.uk,http://www.landlordaction.co.uk,https://solicitors.lawsociety.org.uk/office/550199/landlord-action-ltd,"Address
Studio 3, Limelight, Elstree Way, Borehamwood, Herts, WD6 1JH, England",Borehamwood,Herts,WD6 1JH,England,https://maps.google.co.uk/maps?q=WD6%201JH,"Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Employment, Landlord and tenant - residential, Litigation - general, Mergers and acquisitions, Personal injury","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Employment, Landlord and tenant - residential, Litigation - general, Mergers and acquisitions, Personal injury",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Maka Holdings Limited,Not an SRA-regulated law practice,541180,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/498070/maka-holdings-limited,"Address
Care House, Chester Road, Borehamwood, Hertfordshire, WD6 1LP, England",Borehamwood,Hertfordshire,WD6 1LP,England,https://maps.google.co.uk/maps?q=WD6%201LP,"Company and commercial, Litigation - general","Company and commercial, Litigation - general",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
NOBLE SOLICITORS,Licensed body law practice (ABS),8000236,True,07000818283,info@noblesolicitors.co.uk,Missing,https://solicitors.lawsociety.org.uk/office/22815/noble-solicitors,"Address
Office 331, Third Floor, Devonshire Business Centre, Manor Way, Borehamwood, WD6 1QQ, England",Manor Way,Borehamwood,WD6 1QQ,England,https://maps.google.co.uk/maps?q=WD6%201QQ,Missing,"Advocacy, Higher courts rights - criminal, Criminal Litigation, Benefits and allowances, Children, Children - Childrens' Representative, Conveyancing - residential, Crime - fraud, Higher courts rights - criminal, Criminal Litigation, Crime - general, Higher courts rights - criminal, Criminal Litigation, Debt and bankruptcy - personal, Debt recovery, Employment, Family - general, Family - mediation, Human rights, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general, Higher courts rights - civil, Mental health, Mental Health",Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
Pinnacle Insurance Management Services Ltd,Not an SRA-regulated law practice,71877,True,07880558669,matthew.lorimer@pinnaclepetgroup.com,http://pinnaclepetgroup.com,https://solicitors.lawsociety.org.uk/office/501120/pinnacle-insurance-management-services-ltd,"Address
4Th Floor Limelight, Elstree Way, Borehamwood, Hertfordshire, WD6 1JH, England",Borehamwood,Hertfordshire,WD6 1JH,England,https://maps.google.co.uk/maps?q=WD6%201JH,"Banking, Commercial litigation, Company and commercial, Financial services, Insurance","Banking, Commercial litigation, Company and commercial, Financial services, Insurance",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
PRECISION DENTAL PRODUCTS LIMITED,Not an SRA-regulated law practice,541182,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/509371/precision-dental-products-limited,"Address
Care House, Chester Road, Borehamwood, Hertfordshire, WD6 1LP, England",Borehamwood,Hertfordshire,WD6 1LP,England,https://maps.google.co.uk/maps?q=WD6%201LP,"Company and commercial, Litigation - general","Company and commercial, Litigation - general",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
SPALTER FISHER LLP,Recognised body law practice,544094,True,02033285858,jspalter@spalterfisher.com,http://www.spalterfisher.com,https://solicitors.lawsociety.org.uk/office/474787/spalter-fisher-llp,"Address
1 Theobald Court, Theobald Street, Elstree, Borehamwood, Hertfordshire, WD6 4RN, England",Borehamwood,Hertfordshire,WD6 4RN,England,https://maps.google.co.uk/maps?q=WD6%204RN,"Commercial litigation, Commercial property, Conveyancing - residential, Employment, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general","Commercial litigation, Commercial property, Conveyancing - residential, Employment, Insolvency and restructuring - business, Landlord and tenant - residential, Litigation - general",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
THE DENTAL LAW PARTNERSHIP SOLICITORS LIMITED,Recognised body law practice,482543,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/465903/the-dental-law-partnership-solicitors-limited,"Address
6 Theobald Court, Theobald Street, Elstree, Borehamwood, Hertfordshire, WD6 4RN, England",Borehamwood,Hertfordshire,WD6 4RN,England,https://maps.google.co.uk/maps?q=WD6%204RN,"Clinical negligence, Litigation - general, Personal injury","Clinical negligence, Litigation - general, Higher courts rights - civil & criminal, Higher courts rights - civil, Personal injury",Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
ELS Legal Ltd,Licensed body law practice (ABS),8001070,True,02031498488,info@ELS.Legal,https://els.legal/,https://solicitors.lawsociety.org.uk/office/24774/els-legal-ltd,"Address
Second Floor, One Oaks Court, Borehamwood, WD6 1GS, England",One Oaks Court,Borehamwood,WD6 1GS,England,https://maps.google.co.uk/maps?q=WD6%201GS,Missing,Missing,Missing,Missing,Missing,", , , ",Missing,Missing,Missing,False,False,False,False
Shiva Hotels Group LLP,Not an SRA-regulated law practice,819609,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/11122/shiva-hotels-group-llp,"Address
Regent House, Theobold Street, Elstree, WD6 4RS, England",Theobold Street,Elstree,WD6 4RS,England,https://maps.google.co.uk/maps?q=WD6%204RS,Missing,Missing,Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
Missing,Missing,Missing,True,Missing,Missing,Missing,https://solicitors.lawsociety.org.uk/office/62232/clermont-consultants-uk-ltd,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,False,False,False,False
C P Holdings Ltd,Not an SRA-regulated law practice,76007,True,01923 250 500,Missing,Missing,https://solicitors.lawsociety.org.uk/office/497192/c-p-holdings-ltd,"Address
C P House, Otterspool Way, Watford By-pass, Watford, Hertfordshire, WD25 8JJ, England",Watford,Hertfordshire,WD25 8JJ,England,https://maps.google.co.uk/maps?q=WD25%208JJ,"Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Landlord and tenant - residential, Mergers and acquisitions, Private client - Probate, Private client - Wills","Commercial litigation, Commercial property, Company and commercial, Conveyancing - residential, Landlord and tenant - residential, Mergers and acquisitions, Private client - Probate, Private client - Wills",Missing,Missing,Missing,", , ",Missing,Missing,Missing,False,False,False,False
